Date,AXP,BA,CAT,CSCO,CVX,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MS,MSFT,NKE,ORCL,PFE,PG,T,VZ,WMT,XOM
2000-01-01,33.68370819091797,28.723928451538086,10.948392868041992,35.235137939453125,15.721487045288086,27.44972801208496,115.63121032714844,63.32773208618164,32.71921920776367,55.242576599121094,28.101276397705078,21.73532485961914,25.237443923950195,13.776815414428711,19.73634147644043,32.07822799682617,29.825687408447266,4.199606418609619,19.90023422241211,13.009273529052734,25.300342559814453,5.643212795257568,15.587320327758789,11.621180534362793,18.139915466308594
2000-02-01,27.475963592529297,23.842472076416016,9.102685928344727,42.53556823730469,14.041239738464355,25.701635360717773,114.22894287109375,64.02023315429688,33.22479248046875,50.56726837158203,32.09545135498047,18.183813095092773,25.046024322509766,11.66307544708252,16.765989303588867,34.21391296386719,27.2354679107666,2.624753713607788,29.579578399658203,11.548812866210938,22.059303283691406,5.004637241363525,12.395331382751465,10.34762191772461,16.484621047973633
2000-03-01,30.496118545532227,24.490896224975586,10.238490104675293,49.755550384521484,17.525218963623047,31.182132720947266,134.2918243408203,72.84464263916016,37.26954650878906,58.31825256347656,37.48552322387695,17.80575180053711,27.424806594848633,11.258321762084961,19.73634147644043,40.255271911621094,32.37782669067383,3.657350778579712,31.098407745361328,13.1774263381958,14.245979309082031,5.584648132324219,15.482305526733398,11.992632865905762,17.168569564819336
2000-04-01,30.61132049560547,25.705320358276367,10.238490104675293,44.617095947265625,16.138843536376953,32.97746276855469,136.09446716308594,64.539306640625,32.67121887207031,54.93124771118164,36.029422760009766,20.910680770874023,22.686904907226562,11.375775337219238,20.099382400512695,37.28013610839844,21.25509262084961,4.016541004180908,31.845369338989258,15.18220043182373,14.999073028564453,5.8083672523498535,15.19735050201416,11.768628120422363,17.099781036376953
2000-05-01,33.227943420410156,25.300506591796875,10.011035919189453,36.64292907714844,17.525218963623047,31.890825271606445,136.63534545898438,50.9786262512207,28.33434295654297,52.868228912353516,35.42567443847656,22.684911727905273,23.615482330322266,12.850417137145996,18.911245346069336,34.8109130859375,19.064828872680664,3.9645285606384277,28.633434295654297,16.038164138793945,16.77130889892578,5.834158897399902,13.474759101867676,12.24681282043457,18.337913513183594
2000-06-01,32.07420349121094,27.180978775024414,8.865985870361328,40.90654754638672,16.192848205566406,29.33955955505371,137.6090087890625,65.68315887451172,28.876440048217773,54.04185104370117,37.992122650146484,25.915233612060547,21.846773147583008,13.8284912109375,17.393064498901367,40.5316162109375,24.378599166870117,3.6813511848449707,33.488677978515625,17.333417892456055,14.312348365783691,5.875889301300049,12.949151992797852,12.24681282043457,17.372413635253906
2000-07-01,34.88166427612305,31.731468200683594,8.915053367614746,42.11323547363281,15.080117225646973,29.150569915771484,134.2012176513672,68.39021301269531,29.95058822631836,55.36746597290039,37.93885040283203,23.673473358154297,23.625350952148438,14.809258460998535,16.732990264892578,44.426536560058594,21.274127960205078,4.051671028137207,29.953062057495117,15.663268089294434,14.375402450561523,5.6839189529418945,11.91385269165039,11.754888534545898,17.745853424072266
2000-08-01,36.36976623535156,34.87007522583008,9.715010643005371,44.164588928222656,16.136165618896484,29.445858001708984,152.61581420898438,89.85018920898438,27.816408157348633,65.11686706542969,42.556854248046875,23.391254425048828,26.686107635498047,12.714678764343262,15.78413200378418,52.49968338012695,21.274127960205078,3.665316104888916,36.22753143310547,15.578644752502441,15.687311172485352,5.618807315826416,11.183929443359375,10.13260555267334,18.067445755004883
2000-09-01,37.43864059448242,42.05065155029297,8.191494941711426,35.55691909790039,16.404071807861328,28.91434669494629,150.5006561279297,79.13928985595703,30.662368774414062,55.61461639404297,23.63043212890625,23.975143432617188,22.059316635131836,13.31475830078125,15.940899848937988,44.62278747558594,18.379169464111328,3.710174798965454,31.372282028198242,16.25670623779297,16.999542236328125,6.709774494171143,12.448894500732422,10.238987922668457,19.827939987182617
2000-10-01,36.97642135620117,44.2102165222168,9.264973640441895,34.672019958496094,15.802762031555176,27.071762084960938,143.0230255126953,69.25230407714844,24.906391143798828,48.639625549316406,25.5848331451416,23.512561798095703,21.73097038269043,14.629304885864258,16.369953155517578,39.19364929199219,20.98845100402832,3.704353094100952,26.292964935302734,15.629054069519043,18.125438690185547,7.760806560516357,14.858358383178711,9.664637565612793,19.84532356262207
2000-11-01,33.9006462097168,45.0251579284668,10.505109786987305,30.810640335083008,15.754645347595215,21.87474250793457,129.32411193847656,57.05012893676758,22.6981201171875,46.17060470581055,21.640501022338867,25.5224552154541,17.7330265045166,15.174500465393066,16.83199691772461,30.995378494262695,17.484025955200195,3.9536280632019043,21.11405372619629,16.03618049621582,19.088754653930664,7.439185619354248,14.554056167602539,11.115667343139648,19.581092834472656
2000-12-01,33.9006462097168,43.12118148803711,12.642870903015137,24.616331100463867,16.374059677124023,21.87474250793457,125.083984375,74.28675842285156,26.490385055541992,42.026676177978516,17.099411010742188,26.90592384338379,21.850683212280273,14.807258605957031,18.071657180786133,38.75951385498047,13.21777057647705,5.176817893981934,23.155736923217773,16.68193244934082,19.996986389160156,6.465916156768799,12.983709335327148,11.315340995788574,19.43897819519043
