"Date","AAPL","MSFT","NVDA","AMZN","JPM","GS","BAC","JNJ","UNH","LLY","PG","KO","WMT","MCD","XOM","CVX","COP","CAT","HON","BA"
2000-01-01,0.777165234088898,29.8256950378418,0.0707886517047882,3.22812509536743,25.2374420166016,63.3277206420898,12.356369972229,21.735315322876,5.09766912460327,33.2077217102051,25.3003387451172,13.7768259048462,11.6211805343628,19.7363414764404,18.1399326324463,15.7214813232422,6.7713189125061,10.9483871459961,23.9435405731201,28.7239151000977
2000-02-01,0.858627796173096,27.2354640960693,0.122237652540207,3.44374990463257,25.0460319519043,64.0202255249023,11.7345705032349,18.1838073730469,4.91732549667358,29.5145320892334,22.0593013763428,11.6630744934082,10.3476266860962,16.7659969329834,16.484619140625,14.0412397384644,6.31575632095337,9.10268974304199,24.0058822631836,23.8424701690674
2000-03-01,1.01733803749084,32.3778228759766,0.161362364888191,3.34999990463257,27.4248123168945,72.8446426391602,13.3767738342285,17.8057479858398,5.73487567901611,31.2276287078857,14.2459735870361,11.2583255767822,11.9926328659058,19.7363414764404,17.1685581207275,17.5252227783203,7.73045110702515,10.2384967803955,26.3888988494873,24.4908981323242
2000-04-01,0.929321527481079,21.2550792694092,0.170225873589516,2.75937509536743,22.6868991851807,64.5393142700195,12.6372299194336,20.9106731414795,6.41762351989746,38.4579925537109,14.9990682601929,11.3757772445679,11.7686281204224,20.0993824005127,17.0997829437256,16.138843536377,7.92893123626709,10.2384967803955,28.0479774475098,25.7053203582764
2000-05-01,0.629223108291626,19.0648231506348,0.217974722385406,2.41562509536743,23.6154842376709,50.9786376953125,14.2974786758423,22.6849136352539,7.17546558380127,37.9593505859375,16.7713108062744,12.8504123687744,12.2468109130859,18.9112567901611,18.3379001617432,17.5252227783203,9.63522911071777,10.0110359191895,27.3905906677246,25.3005065917969
2000-06-01,0.784656345844269,24.3785972595215,0.242804989218712,1.81562495231628,21.8467807769775,65.6831893920898,11.1916694641113,25.9152126312256,8.25209045410156,49.9703254699707,14.3123531341553,13.8284902572632,12.2468109130859,17.39306640625,17.3724136352539,16.1928482055664,8.5307502746582,8.86598682403564,16.929313659668,27.1809787750244
2000-07-01,0.76124769449234,21.2741355895996,0.22919625043869,1.50625002384186,23.6253528594971,68.3902053833008,12.3303594589233,23.6734771728516,7.87316513061523,51.9716606140137,14.3754043579102,14.8092651367188,11.7548894882202,16.7329845428467,17.7458686828613,15.0801115036011,8.54915809631348,8.91505527496338,17.0863628387451,31.731466293335
2000-08-01,0.912935793399811,21.2741355895996,0.303207159042358,2.07500004768372,26.6861114501953,89.8502197265625,13.9448518753052,23.3912582397461,9.09564304351807,36.5318183898926,15.6873121261597,12.7146816253662,10.132604598999,15.7841281890869,18.0674495697021,16.1361713409424,10.485650062561,9.71501445770264,19.5362396240234,34.8700828552246
2000-09-01,0.385773211717606,18.37917137146,0.312757432460785,1.921875,22.0593204498291,79.139289855957,13.7670135498047,23.9751491546631,9.50313186645508,40.7264442443848,16.9995517730713,13.3147506713867,10.2389860153198,15.9408950805664,19.8279399871826,16.4040775299072,10.6366233825684,8.19149589538574,17.9986362457275,42.0506401062012
2000-10-01,0.293075293302536,20.9884433746338,0.237373054027557,1.83124995231628,21.7309684753418,69.252311706543,12.6334552764893,23.5125541687012,10.5256223678589,44.8681564331055,18.1254463195801,14.6293058395386,9.66463947296143,16.369945526123,19.8453254699707,15.8027563095093,10.4671125411987,9.26497650146484,27.1874198913574,44.2102203369141
