"Date","Plugin_Return","Bayesian_Return"
2005-02-01,0.093745338430087,0.0706155601346785
2005-03-01,-0.0206091225881971,-0.0215275291360786
2005-04-01,-0.00613166282878079,-0.0187275335387562
2005-05-01,0.0128249998316565,0.0174696145132697
2005-06-01,-0.0162408316786073,-0.00378297544367267
2005-07-01,0.0573811712742308,0.0384722127766483
2005-08-01,0.0145348506627479,0.0119374133854637
2005-09-01,0.0652648482939195,0.048796226270976
2005-10-01,-0.0833960411092083,-0.0692455717848512
2005-11-01,0.0360224493658774,0.0296629351705579
2005-12-01,0.00267994627360203,-0.00423685758171435
2006-01-01,0.0534300943362028,0.0385194406945091
2006-02-01,0.025230605490487,0.0158144391648575
2006-03-01,-0.0280714258825613,-0.0103800318790152
2006-04-01,0.0118813050908157,0.00921950388290788
2006-05-01,-0.0541097169403903,-0.0367326431379636
2006-06-01,0.018898187329417,0.0150549697456759
2006-07-01,-0.00592901782462713,0.00840456603443709
2006-08-01,0.0491727732621248,0.026758528893206
2006-09-01,0.0120152564143474,0.023321534020828
2006-10-01,0.0210503874312568,0.0267761682587357
2006-11-01,0.0281286397993959,0.0356555116014621
2006-12-01,0.013398151670449,0.0123299699112195
2007-01-01,0.0123126160923612,0.00705071967035401
2007-02-01,-0.021026337741765,-0.0212058379253954
2007-03-01,0.0142984113262342,0.0180641259352518
2007-04-01,0.0373626711829599,0.0410146251595012
2007-05-01,0.0437776991021735,0.0447734275608965
2007-06-01,-0.0239307530643854,-0.0188874643718219
2007-07-01,-0.0397562741446966,-0.0272319476069437
2007-08-01,-0.0132276939248168,-0.00988779016141607
2007-09-01,0.054854785293332,0.0564118210709461
2007-10-01,0.0260753899792243,0.024437032080944
2007-11-01,-0.0321444204121272,-0.0375884944217612
2007-12-01,0.00731530819718478,0.00626447883845942
2008-01-01,-0.0709546208176388,-0.0700007754370199
2008-02-01,0.0053617511289656,-0.00427992804277538
2008-03-01,0.0232609525836341,0.0245690503691366
2008-04-01,0.0641284423911683,0.0617184321995042
2008-05-01,0.00379497021231828,0.00328773168510145
2008-06-01,-0.0980473017768011,-0.10240889564331
2008-07-01,-0.0537078975668654,-0.0375573836058149
2008-08-01,0.0286335884994706,0.0281208886046282
2008-09-01,0.00747803103636305,-2.00450218179366e-05
2008-10-01,-0.0996445221598073,-0.0984505562246357
2008-11-01,0.00878443303582596,0.00593101606625976
2008-12-01,0.0250830152447488,0.00513802804918757
2009-01-01,-0.0670116495758536,-0.0793687604929772
2009-02-01,-0.114113412745835,-0.110318153122728
2009-03-01,0.0407058038211998,0.0519003760734229
2009-04-01,-0.02017384481151,-0.00679296784451319
2009-05-01,0.0678999938371236,0.0481523634925641
2009-06-01,-0.0250343638287492,-0.0122195078360329
2009-07-01,-0.0111468985376892,0.0190833753795436
2009-08-01,0.00451249590564806,0.000457730589446103
2009-09-01,-0.00094470728562897,0.0119502570997406
2009-10-01,0.0194289626289688,0.0106273737818158
2009-11-01,0.0678300170740637,0.0632363140104188
2009-12-01,-0.0106224240513589,-0.00313299218778317
2010-01-01,-0.0244987098605373,-0.0346539856355521
2010-02-01,0.0188619915026505,0.0188086885783196
2010-03-01,0.044200105206187,0.0393063904810599
2010-04-01,0.0336868052190427,0.0170083278272547
2010-05-01,-0.0633775878192488,-0.0678366309944975
2010-06-01,-0.022246669763908,-0.0316685174251346
2010-07-01,0.0544461252982623,0.0616953913530059
2010-08-01,0.0286791360904788,0.00202350688980539
2010-09-01,0.0404274693379757,0.0626483960176762
2010-10-01,0.0427642684497898,0.0393111006786781
2010-11-01,0.00334646243187831,-0.00208678977192514
2010-12-01,-0.00489552446755547,0.0231697105103093
2011-01-01,-0.00955281447930005,0.00587547959518192
2011-02-01,0.0111487550371758,0.0163149986583617
2011-03-01,0.0150758434912426,0.00310303759189889
2011-04-01,0.0322068094473548,0.0366438048631859
2011-05-01,0.0216986182824746,0.00463949253650717
2011-06-01,0.0351803138847357,0.0150443346032909
2011-07-01,0.0342605054596471,0.0196661905326224
2011-08-01,0.0146972066016843,-0.00149269619374904
2011-09-01,-0.0115638877807467,-0.0139554239295227
2011-10-01,0.0553072451464499,0.0625437839453637
2011-11-01,0.0255301439773141,0.0189102945370665
2011-12-01,0.0357365125658443,0.0281629074796255
2012-01-01,0.00319900532738454,0.0064186870206008
2012-02-01,0.00589405672997427,0.00855710227039784
2012-03-01,0.0157407752352969,0.0229160978072123
2012-04-01,-0.00613747527422701,-0.00232847154491151
2012-05-01,-0.0804497358060688,-0.0403304190519559
2012-06-01,0.0189921193244463,0.021402847537592
2012-07-01,0.0213117421614837,0.0232762032167447
2012-08-01,-0.00692610986021237,-0.0117992925087664
2012-09-01,0.0359777719251017,0.0379287283910812
2012-10-01,-0.0293989872499803,-0.0250809833241434
2012-11-01,-0.00999596622422167,-0.00512698036780375
2012-12-01,-0.00850901192224022,-0.0148699404162267
2013-01-01,0.0661136409356564,0.0565875819742575
2013-02-01,0.0066078857598657,0.0152860322488959
2013-03-01,0.0426681265257835,0.0473109520566349
2013-04-01,0.0293798169673078,0.0328734543931086
2013-05-01,-0.0246339570427137,-0.0239648476674635
2013-06-01,0.0102037494599664,0.00213609096237335
2013-07-01,0.00501824882035037,0.00817561105475873
2013-08-01,-0.0476507760270412,-0.0466002909291593
2013-09-01,0.0225397635840995,0.0226970670302439
2013-10-01,0.0263285298987473,0.0339218710667822
2013-11-01,0.017187361652316,0.0151732340728811
2013-12-01,0.0208963106034623,0.0191341679907023
2014-01-01,-0.0713082531932853,-0.0614549300204284
2014-02-01,0.0430138200411628,0.0396037445434521
2014-03-01,-0.0124353911155426,-0.00950245404069404
2014-04-01,-0.00339173478138213,-0.000152628260968182
2014-05-01,0.0144750981017685,0.0179527679753635
2014-06-01,0.00422095565958196,0.00434821456800391
2014-07-01,-0.0254941371355881,-0.0242376173221187
2014-08-01,0.0497257437297721,0.043912342659434
2014-09-01,0.0131702964943049,0.0154455080480476
2014-10-01,0.0305961642039191,0.0274535506976256
2014-11-01,0.0256013632724882,0.0283919860648302
2014-12-01,-0.0026708632633419,-0.00833518854245044
2015-01-01,-0.0162336879515407,-0.0198657898520253
2015-02-01,0.0889890592249993,0.0811739118383207
2015-03-01,-0.00331416318942659,-0.00528764851215767
2015-04-01,-0.0128876667501074,-0.00825948741385554
2015-05-01,0.0167905113982534,0.0180217995023097
2015-06-01,-0.000963695590041309,0.00233152236247297
2015-07-01,0.0499457062680734,0.0477787185228234
2015-08-01,-0.0455071806460686,-0.0550796407187402
2015-09-01,0.0182432061502996,0.012850271910259
2015-10-01,0.0720314484959874,0.0740444010878258
2015-11-01,0.0592656060835811,0.0407256944815555
2015-12-01,-0.0231148713066968,-0.0188960787796982
2016-01-01,-0.0339372293074686,-0.0230374705691498
2016-02-01,-0.00290382183200571,-0.00365947431699626
2016-03-01,0.0543509766404408,0.0506001658072178
2016-04-01,-0.00677571844942112,-0.011311888276379
2016-05-01,-0.0241909149328844,-0.0176452441345787
2016-06-01,-0.0119849930518625,0.0090592404767578
2016-07-01,0.0530912105517332,0.0435808798576213
2016-08-01,-0.025803958362788,-0.0251393792844465
2016-09-01,-0.0403375145618363,-0.0369366074264676
2016-10-01,-0.0606143068614668,-0.0469154232015485
2016-11-01,0.0384832345336904,0.0346808525226455
2016-12-01,0.0463260288929593,0.0475617974729697
2017-01-01,0.0253452969114607,0.0237754655945114
2017-02-01,0.0371147784397265,0.0391511716906727
2017-03-01,0.00742125099683859,0.00774998366798414
2017-04-01,0.0326879267854501,0.0239916020045245
2017-05-01,-0.00995917158760385,-0.00926444915507809
2017-06-01,0.0212783542297832,0.0341194986982114
2017-07-01,0.0197282856603099,0.0278167892318268
2017-08-01,-0.0115074857582903,-0.0144419471127741
2017-09-01,0.0501511940638782,0.0392408169522779
2017-10-01,0.0405263942745827,0.0458804749872518
2017-11-01,0.0544173758779954,0.0505246524499773
2017-12-01,0.0454215182895534,0.0388002588438856
2018-01-01,0.108056256547054,0.0929255679140438
2018-02-01,-0.0297917050601296,-0.0322345683687876
2018-03-01,-0.050613945370105,-0.040286871295372
2018-04-01,0.0252355721787152,0.0206898047928598
2018-05-01,0.0413578167145302,0.0306976523843832
2018-06-01,0.00350837346281845,0.00109693601454901
2018-07-01,0.0366646652637715,0.0289206489486759
2018-08-01,0.0266837353669101,0.026265809450201
2018-09-01,0.0395492053541871,0.0356731976494633
2018-10-01,-0.102251268114382,-0.0875487789435968
2018-11-01,0.030429114046151,0.0312548604476503
2018-12-01,-0.0664288409936365,-0.0680817334249589
2019-01-01,0.0535142065471379,0.0539608643505744
2019-02-01,0.0611399180049344,0.0627361639561411
2019-03-01,-0.00395165005753135,0.000740164072993418
2019-04-01,0.0439510835972093,0.0386837215052624
2019-05-01,-0.0601375657337004,-0.0659404753942418
2019-06-01,0.0716248049721461,0.0710971954532358
2019-07-01,0.00900823987753564,0.0117538879326585
2019-08-01,0.0388984227409036,0.0273896519291771
2019-09-01,0.0090934646867946,0.0199799975131467
2019-10-01,-0.0477745955574611,-0.0379860268391067
2019-11-01,0.00276699269601926,0.00762627780616906
2019-12-01,0.00629660619588972,0.00907195596359745
2020-01-01,0.0479203420518611,0.031616968534711
2020-02-01,-0.0766878857998805,-0.0787830569991392
2020-03-01,-0.0813631081856778,-0.0959347100591586
2020-04-01,0.111703954558525,0.107017388910982
2020-05-01,0.0166832899833178,0.0284862947736269
2020-06-01,0.0785416156498306,0.0464028055104964
2020-07-01,0.0210641518941621,0.031631955073876
2020-08-01,0.0876499120175203,0.0813604129395003
2020-09-01,-0.0480576051726179,-0.0298086145567184
2020-10-01,-0.0290810599006111,-0.0210090562902068
2020-11-01,0.062970206883294,0.0611654230778678
2020-12-01,0.0105383027801931,0.00784959131261321
2021-01-01,0.0124636778756194,-0.00670418023920195
2021-02-01,0.00962597864524591,0.0100681498641878
2021-03-01,0.0266666100776569,0.0413708266074994
2021-04-01,0.0492226533225386,0.0335156893988317
2021-05-01,-0.00721392469166542,0.00687379607563932
2021-06-01,0.0642789917414455,0.0338000597602667
2021-07-01,0.0479265299112081,0.0394849931575284
2021-08-01,0.0553523601321193,0.0330071010702941
2021-09-01,-0.0665523301799976,-0.0623214831969103
2021-10-01,0.159404594246899,0.113627718729505
2021-11-01,-0.00241800451020209,-0.00472614403553411
2021-12-01,0.0281857593528389,0.0429463355172545
2022-01-01,-0.0707527593117256,-0.0706059948250277
2022-02-01,-0.0365776109153364,-0.047384883981489
2022-03-01,0.0232786704209932,0.0277036730362405
2022-04-01,-0.0762221108459685,-0.045667498068756
2022-05-01,-0.0395325398368323,-0.0477232664644631
2022-06-01,-0.0465426047719139,-0.0585635714817471
2022-07-01,0.047027876184934,0.0308702050418507
2022-08-01,-0.0518932252947824,-0.0517955501476795
2022-09-01,-0.104881608816142,-0.0898439337643639
2022-10-01,0.0261802927827021,0.0570496820008202
2022-11-01,0.093726565667831,0.0753619324292473
2022-12-01,-0.0269782325021527,-0.024752782244634
2023-01-01,-0.0170390562616433,-0.0209582679953697
2023-02-01,-0.0105056722079215,-0.0195430532921159
2023-03-01,0.101471080397373,0.0785662414046093
2023-04-01,0.0560865524068275,0.0483857974067695
2023-05-01,-0.023300626253546,-0.0233973989746248
2023-06-01,0.0517163890252124,0.0573038851914785
2023-07-01,0.0054607286758826,0.00419892178316047
2023-08-01,-0.0126822587921742,-0.00948650482919884
2023-09-01,-0.0483803126595626,-0.0478447591745685
