"","Annualized_Return","Annualized_Volatility","Sharpe_Ratio","Max_Drawdown"
"Plugin",0.117218681870074,0.14981282076997,0.782434248735339,-0.322527332277574
"Bayesian",0.106287646929455,0.136228455326245,0.780216194002302,-0.350974678868871
