"Date","Plugin","Bayesian","Equal_Weight"
2005-02-01,1.01895455590898,1.02930075825463,1.03596496787039
2005-03-01,1.03800135522142,1.0294242684834,1.01032487454569
2005-04-01,1.02327810967719,1.00995969058965,0.982144000303566
2005-05-01,1.06448473108456,1.04739037448253,1.02479486962933
2005-06-01,1.10647224045742,1.06123487748072,1.01631424223069
2005-07-01,1.12573522412619,1.09487821024365,1.07163571158369
2005-08-01,1.11525080717152,1.08827165239113,1.0645765119663
2005-09-01,1.19061580230525,1.14578559019293,1.09217622360667
2005-10-01,1.18629144769241,1.13458495065434,1.08175915326173
2005-11-01,1.24418054715965,1.18704845246861,1.14039709984627
2005-12-01,1.27414375262875,1.20441805339772,1.14472142540028
2006-01-01,1.25133135585914,1.21427401631307,1.18482435813956
2006-02-01,1.24836632198996,1.22334607676109,1.19034370615006
2006-03-01,1.21243237235638,1.19788289091945,1.21361252699
2006-04-01,1.17185360435292,1.19988320637742,1.23541133422618
2006-05-01,1.08901166516779,1.12192828900964,1.190469760826
2006-06-01,1.11019602998718,1.14297251793742,1.19195249349599
2006-07-01,1.13366422436628,1.16594733142909,1.18738774498812
2006-08-01,1.13873579482236,1.16061710086774,1.21601077099288
2006-09-01,1.14918892161272,1.17966884633003,1.26516135421324
2006-10-01,1.17751468077929,1.21227081196272,1.30607327356339
2006-11-01,1.21291901812176,1.24425570014215,1.33052664465192
2006-12-01,1.231161100171,1.26063270650945,1.3454249686152
2007-01-01,1.21289379178405,1.24822392737975,1.34520595767685
2007-02-01,1.17958365783558,1.21252862843231,1.31196192921835
2007-03-01,1.2159214625301,1.24616635560565,1.32708321271825
2007-04-01,1.25064072602321,1.28809401331948,1.41842144342068
2007-05-01,1.33048021673998,1.35889385368293,1.47279524645076
2007-06-01,1.28320233488219,1.32636375349406,1.46368326375298
2007-07-01,1.30312274444472,1.34026665876237,1.44532589621105
2007-08-01,1.3311430670251,1.36628942896658,1.48123663435699
2007-09-01,1.41902860312348,1.45052280916936,1.53733204290085
2007-10-01,1.53139408258626,1.52626711457687,1.56050655434949
2007-11-01,1.4796275794477,1.48650997564375,1.49077564840558
2007-12-01,1.54366745097777,1.53787771811573,1.48311054225512
2008-01-01,1.24124341753598,1.28236345284652,1.40314071271156
2008-02-01,1.20464800605702,1.2396376175929,1.33695596512678
2008-03-01,1.24853302904347,1.27412259206466,1.34227974467883
2008-04-01,1.37304228271664,1.38159388166735,1.40428355482225
2008-05-01,1.4039301682209,1.4078003364119,1.41739604767414
2008-06-01,1.27189805661019,1.28667611261343,1.27233337069642
2008-07-01,1.23514377977679,1.25825097025794,1.28208677477818
2008-08-01,1.24609652966929,1.26989676505896,1.33320518879604
2008-09-01,1.15789848982135,1.19828101240938,1.2474068200457
2008-10-01,0.983973193733924,1.02077230073271,1.04969233243052
2008-11-01,0.950913483816903,0.985404555338004,0.947300393276121
2008-12-01,0.964084364607451,0.982493900376857,0.961172998700984
