"Asset","Mean","SD","Min","Max","Skewness","Excess_Kurtosis"
"AAPL",0.0188310423596375,0.114697103430998,-0.861415890870256,0.374168853922409,-1.85566098419733,11.4831509090229
"MSFT",0.00895064101850966,0.0791648137035467,-0.420877818047544,0.342015024449306,-0.381573000601368,3.70182226546692
"NVDA",0.0253259745814742,0.164743731331383,-0.666600703595223,0.602254131768256,-0.288842478215977,1.6979313341779
"AMZN",0.0137290569609486,0.125159736882806,-0.530267379729619,0.483522109230478,-0.483586828453716,3.12460747453079
"JPM",0.00815852272792325,0.0849956735922229,-0.329450901062398,0.216348885335997,-0.645563477199599,1.77785950202275
"GS",0.00842529741016227,0.0903003092817015,-0.324821237698721,0.272914440484247,-0.232500520135823,0.719372623136427
"BAC",0.00476636946684831,0.111789565751373,-0.738201004575083,0.546144362496232,-1.21452828446181,9.3776812412506
"JNJ",0.00722905733787364,0.0479282540258757,-0.178406878661364,0.16073837952243,-0.364147876997906,1.20028075424701
"UNH",0.0133639781783085,0.0757664579850467,-0.365843793283135,0.235913326217209,-1.15425279171738,4.09696103416998
"LLY",0.0111746888595547,0.0752352399848298,-0.35251496427328,0.27491347289893,-0.236532139382007,2.49816691549229
"PG",0.00555343209873402,0.0528635705776205,-0.437260032581097,0.123469082694477,-2.09084042566484,14.9780739995061
"KO",0.00517803568102046,0.0506758444255288,-0.189639066901717,0.132718216053228,-0.672998081383704,1.50411968775684
"WMT",0.00725498788935336,0.0542080506088128,-0.173432427259388,0.147535345690333,-0.327667945660369,0.79937039362042
"MCD",0.00877286162602489,0.0553007474677432,-0.296701474350329,0.167692078168146,-0.707001542815293,3.26271630111242
"XOM",0.0060629005195722,0.0622342203589514,-0.289365162353716,0.238351943776651,-0.11620752269571,2.67674399679387
"CVX",0.0072727056070564,0.0675876246529513,-0.241593419891394,0.23875353643665,-0.0539860622753811,1.53369229970932
"COP",0.00842022311001144,0.087575932384205,-0.445345115023252,0.335934073104583,-0.364213046984453,3.55114225805216
"CAT",0.0127174587762021,0.0915618232971831,-0.444819545317421,0.287833125339166,-0.551552041889286,2.55213523835713
"HON",0.00672929230955123,0.080869707989634,-0.481152892695542,0.412458371420108,-1.12320775590522,8.39277945697077
"BA",0.00650392321243385,0.0976309407746343,-0.606353452991753,0.377964844635763,-1.10206033483179,6.01935263126867
