"","AAPL","MSFT","NVDA","AMZN","JPM","GS","BAC","JNJ","UNH","LLY","PG","KO","WMT","MCD","XOM","CVX","COP","CAT","HON","BA"
"PG",-0.0386972156363324,-0.0146935548807105,-0.0497483403164114,0.077829017194633,0.13130327466833,0.0352946030850854,0.195132473629908,0.396592504816924,0.177127379078618,0.118457431109321,1,0.446667748741418,0.137734241367493,0.277865493882513,0.170202527934543,0.121325251376299,0.0878571428552736,0.198645621214522,0.270191906039956,0.176653723383394
"KO",0.0623199791050157,0.224176631344346,0.0325507059878908,0.0973288213787087,0.266770551797987,0.216080813160044,0.202229311854161,0.468830970957265,0.16132226827036,0.305242478630488,0.446667748741418,1,0.260929938130619,0.506234107243458,0.322349240970837,0.31421735240311,0.249396985622294,0.256381733677902,0.330783588681393,0.321535576687384
"WMT",0.0838417344506472,0.237037752439564,0.102099301410284,0.136293959182763,0.237369749963168,0.201377290377077,0.188959499889906,0.307743584350015,0.0672716732445546,0.236823443986192,0.137734241367493,0.260929938130619,1,0.30686250802934,0.0984268295022767,0.108630725557684,0.0225951357725514,0.248424932964692,0.19402128114913,0.0881559289938267
"MCD",0.182918234647339,0.242286468117608,0.0940267030420827,0.179247738596168,0.365066239106154,0.276758851185477,0.233736786342807,0.367658440285436,0.214431808022845,0.241887382039479,0.277865493882513,0.506234107243458,0.30686250802934,1,0.33842501659988,0.395848633775745,0.290251639653844,0.350306018835068,0.477623366194899,0.339050349574757
"XOM",0.139147987892253,0.182609185231543,0.187177216358076,0.0923028556589056,0.328830763999338,0.341051849428912,0.286159945380675,0.323653447876108,0.213456900981598,0.151559921740864,0.170202527934543,0.322349240970837,0.0984268295022767,0.33842501659988,1,0.816596293823597,0.747933599189272,0.414664108423942,0.381585725337685,0.351363785858483
"CVX",0.221265168874329,0.261144770587623,0.241179050531869,0.145765001529266,0.389218359516296,0.38073516195829,0.344831427451113,0.300772381693697,0.263982278702864,0.0861884169344551,0.121325251376299,0.31421735240311,0.108630725557684,0.395848633775745,0.816596293823597,1,0.79698972591151,0.503946773691587,0.428287475756305,0.373568687629422
"COP",0.2006126378989,0.191630536830539,0.24089267347961,0.168242515338101,0.383166696428319,0.396965225362584,0.403502430356903,0.210690352318695,0.261703716028745,0.0963079925814388,0.0878571428552736,0.249396985622294,0.0225951357725514,0.290251639653844,0.747933599189272,0.79698972591151,1,0.451917726622245,0.439912535947896,0.418187666966045
"CAT",0.240525147538267,0.293874270465723,0.29377030946278,0.256780761949245,0.491042601044927,0.463084569504215,0.481714735320686,0.287718548810283,0.200098518449964,0.205417519775733,0.198645621214522,0.256381733677902,0.248424932964692,0.350306018835068,0.414664108423942,0.503946773691587,0.451917726622245,1,0.580761320809752,0.3461822469308
"HON",0.213088474034037,0.292325565260291,0.293998157596667,0.410864283415507,0.493812061316409,0.409858910312557,0.402574000431908,0.220464879117657,0.279339705164736,0.16341693535082,0.270191906039956,0.330783588681393,0.19402128114913,0.477623366194899,0.381585725337685,0.428287475756305,0.439912535947896,0.580761320809752,1,0.508568758183737
"BA",0.155829750922691,0.210984596632623,0.205585559443078,0.228179635839604,0.375972317734889,0.368602047158035,0.370248699937759,0.207583752461241,0.194918371004294,0.114111990790519,0.176653723383394,0.321535576687384,0.0881559289938267,0.339050349574757,0.351363785858483,0.373568687629422,0.418187666966045,0.3461822469308,0.508568758183737,1
